_id,type,title,description,source,source_url
11,Problem,Leaking Water,"Check the balance and make sure that the washer basket is not out of alignment causing water to splash out of the washer.;Check all hoses and tighten any connections. Be sure that hose washers are not cracked or broken and are seated properly in the hose.;Check water lines and faucets to ensure that they are not leaking.;Check to see that the washer is draining properly and that the drain hose is not clogged with lint, hair or a wayward sock.",About.com,http://laundry.about.com/od/washermaintenancerepair/a/Whats-Wrong-With-My-Washer.htm
12,Problem,Weird Noises,"The clicking may be objects caught in the washer drain. Always check and empty pockets before washing. Close zippers and snaps and remove any unattached belts or embellishments.;If you hear unusually loud gurgling as the washer drains, it may indicate that the washer drain line is partially clogged. Take measures to remove the obstructions before disaster occurs!",About.com,http://laundry.about.com/od/washermaintenancerepair/a/Whats-Wrong-With-My-Washer.htm
13,Problem,Washer Won't Run or Fill with Water,Check the water supply. Both hoses must be attached and both water inlet valves open. Be sure the hoses are kink-free and that there is nothing clogging the inlet valve screens.;Be sure that the power cord is plugged in well and ensure that there is power to the outlet. Check the circuit breakers to be sure that it is not tripped.;Clean the inside lid switch. Most washers must have the lid closed and the lid switch engaged to operate. Lint and dirt can cause the switch to jam and malfunction.,About.com,http://laundry.about.com/od/washermaintenancerepair/a/Whats-Wrong-With-My-Washer.htm
14,Problem,Washer Won't Drain or Spin Correctly,"Even if you check pockets, something small can be overlooked. Coins, pens or even small socks can get caught in the pump or between the basket and tub and slow or block draining.;If the washer is overloaded or loaded improperly, it can become unbalanced and will not allow the washer to spin correctly. Adjust and redistribute the wet laundry or remove some to allow the washer to finish spinning.;Check the drain hose for proper installation. The end of the drain hose should not be higher than 96 inches above the floor.;Remove the drain hose and check for clogs. Remove any residue before reattaching.;Do not use too much detergent. An overabundance of suds can slow the draining process and cause the washer to malfunction.",About.com,http://laundry.about.com/od/washermaintenancerepair/a/Whats-Wrong-With-My-Washer.htm
15,Problem,Automatic Dispensers Malfunctioning,"Always use the correct formula in designated dispensers. If the washer manual calls for liquid bleach - never use powder.;Every month, clean every dispenser by heating a cup of distilled white vinegar and adding it to the dispenser. Then, run the washer in a regular cycle. The vinegar will clean away any clogs or built-up residue.",About.com,http://laundry.about.com/od/washermaintenancerepair/a/Whats-Wrong-With-My-Washer.htm
16,Problem,Washer Odors,"Do not use too much detergent. Excessive suds leave dirty residue on washer parts and trap odors.;Clean your washer monthly, even if you don't feel it is needed, to prevent odor residue.;Check around washer for mold or mildew growth. You may have a problem with excessive moisture. This is both unpleasant and dangerous to your health and must be corrected.",About.com,http://laundry.about.com/od/washermaintenancerepair/a/Whats-Wrong-With-My-Washer.htm
17,How To,Clean That Machine,"Cleaning is really simple. Fill the washer with hot water. Add 1 quart of chlorine bleach - no detergent. Allow the washer to run through its longest wash and spin cycle. Immediately fill the washer with hot water again and add 1 quart distilled white vinegar . Run the longest wash and spin cycle again.;Using the bleach and vinegar will clean away bacteria, soap scum and mineral deposits from the wash basket and hoses. This is especially important if you live in a hard water area and should be done every three months. Every washer should be cleaned at least twice per year.",About.com,http://laundry.about.com/od/washermaintenancerepair/a/cleanwasher.htm
18,How To,Clean Those Dispensers,"Newer machines have handy built-in dispensers for detergent, fabric softener and bleach. These, too, need to be cleaned regularly.;Each dispenser should be cleaned every month to six weeks to keep them working well. You certainly don't want them dumping too much product in your wash load or failing to empty at the correct time. Too much detergent causes overflowing suds, too much fabric softener can leave blue or greasy-looking spots on clothing and bleach can actually ruin colored clothing.;To clean, be sure the washer is empty. Warm 1 cup of white vinegar in the microwave or in a small saucepan. Pour it into the dispenser and allow it to sit for a few minutes to loosen any build up. Run the machine following a normal cycle. If you have removable dispensers, they can be submerged in warm vinegar and then rinsed with clear water and replaced in the machine.",About.com,http://laundry.about.com/od/washermaintenancerepair/a/cleanwasher.htm
19,Problem,Brown Spots on Clothes,"If you begin to notice little brown spots on your laundry, it is probably rust. And, it is probably coming from your washer. Use a flashlight and look over your washer basket carefully to check for chips in the finish.;Many washers have spin or washer baskets that are replaceable. Check with an appliance store to see if that your model can be repaired. Kits are also available to repair and repaint the porcelain coating. You must follow directions very carefully. Be sure to keep an eye on the repair to be sure it holds up well.",About.com,http://laundry.about.com/od/washermaintenancerepair/a/cleanwasher.htm
21,Problem,Washer won't run,Is it plugged in? This seems so simple but dozens of repairmen have told me that's often all it takes to make an appliance work!,About.com,http://laundry.about.com/od/laundryappliances/tp/Washerrepair.htm
22,Problem,Washer won't run and it's plugged in,"Check your central home electrical box to see if a fuse has blown or a circuit breaker has tripped. You may be able to replace the fuse or turn the breaker back on. If this happens frequently, call an electrician immediately!",About.com,http://laundry.about.com/od/laundryappliances/tp/Washerrepair.htm
23,Problem,Washer will not fill with water,"Check to see if the water valves are open. You should have two valves - a hot and a cold. Even if you always wash in cold water, some washers won't operate unless both valves are open. If your machine is getting water but it fills very slowly, you may just need to open the valve more.",About.com,http://laundry.about.com/od/laundryappliances/tp/Washerrepair.htm
24,Problem,Washer will not fill and water valves are open,"If the washer won't fill and the water valves are open, you may have a clog in the filter screen. Unplug the machine. Turn off the water valves. Get a bucket to catch the remaining water in the hoses. Unscrew the hoses from your machine and check to see if there is a clog in the filter. A simple cleaning may do the trick to get your washer working again.",About.com,http://laundry.about.com/od/laundryappliances/tp/Washerrepair.htm
25,Problem,Washer is making a terrible thumping noise,"Quite often this happens because the washer has been loaded improperly or the laundry has shifted during the cycle. Never load clothing on just one side of the central agitator, distribute it evenly around the washer's tub. If the thumping occurs during a cycle, simply stop the machine and redistribute the wet clothing.",About.com,http://laundry.about.com/od/laundryappliances/tp/Washerrepair.htm
26,Problem,Water puddles on the floor,"The first thing to check is the connection of the water hoses to the valves. If you find any dampness, tighten immediately. If the hose appears to have small splits, replace immediately. I've had a water hose burst and it is a huge mess to clean. Washer hoses should be checked and replaced regularly to prevent this problem.",About.com,http://laundry.about.com/od/laundryappliances/tp/Washerrepair.htm
27,Problem,Soapy puddles on the floor,"If you have a front-loading machine, be certain that you are using an HE - high efficiency - detergent. These are formulated to be low-sudsing and to be used in the lower levels of water in a front-loading washer.;Front-loading machines have a small overflow system usually on the back of the machine. If you have too many suds, they are probably escaping from there.",About.com,http://laundry.about.com/od/laundryappliances/tp/Washerrepair.htm
28,Problem,Clothes are still wet after spin cycle,"If your clothing is still quite wet after the spin cycle, first check to see if the drain hose is kinked or crushed. If your washer \"dances\" during cycles, it may have moved and kinked the hose.;If that is not the problem, the drain hose could be clogged with lint or hair. It can easily be cleaned with a thin, long-handled brush. Pet shops carry the brushes to clean aquarium tubes if you can't find one at the hardware store.",About.com,http://laundry.about.com/od/laundryappliances/tp/Washerrepair.htm
29,How To,Disinfect a Washer,"Fill the washer with hot water;Add 1 cup chlorine bleach;Set the washer to a full cycle with hot water rinse. Allow to run through the entire cycle.;Clean the exterior of the washer - top, front and sides with a solution of chlorine bleach and hot water. Rinse with clean water.",About.com,http://laundry.about.com/od/washermaintenancerepair/ht/How-To-Disinfect-A-Washer-Disinfect-Washer-After-Flood-Or-Contaminated-Laundry.htm
30,How To,Disinfect a Washer Tips,"If the washer has been through a flood, have a technician check the appliance before cleaning and using.;Washers should be disinfected after washing clothes contaminated by pesticides andpoison ivy.;If a dryer has been contaminated by flood water, have it checked by a technician and then wipe down the drum and outside of the dryer with a solution of chlorine bleach and hot water. Always rinse well with a cloth dipped in clear water.",About.com,http://laundry.about.com/od/washermaintenancerepair/ht/How-To-Disinfect-A-Washer-Disinfect-Washer-After-Flood-Or-Contaminated-Laundry.htm
31,How To,Keep the Washer Clean Tips,"If your washer has a lint filter, clean it regularly. This will prevent odors and promote better water flow within the washer.;If you have just washed a load of clothes that faded significantly, clean the washer before doing the next load of clothes. This will prevent dye transfer.;Front-loading washers are prone to odors caused by mildew and detergent build-up. There are commercial cleaners that can be used. Or, some manufacturers recommend cleaning the washer each month by running a regular cycle with one cup of chlorine bleach to help reduce the risk of mold buildup.;Top loading washer should also be cleaned regularly by running a cycle with hot water and a cup of distilled white vinegar. This will remove any residual detergent build-up and freshen the machine.;For both types of washers, leaving the door open until the washer is completely dry will help prevent odors and mildew growth. The washer should be dry within two to three hours.;If your washer has automatic dispensers for detergent, bleach, fabric softener or other products, they should be cleaned monthly. Product build-up can prevent even distribution and can even stain clothes if too much product is deposited on the fabrics.",,http://laundry.about.com/od/washermaintenancerepair/a/How-To-Get-The-Best-Results-From-Your-Washer.htm
