"_id","type","fabric","supplies","steps","notes","disclaimer","source","source_url"
"11","Asphalt","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.","Rub area with ice and scrape with side of dull knife. Proceed as above.",,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"12","Asphalt","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"13","Auto wax","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"14","Automobile grease","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"15","Automotive oil","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"16","Baby beans","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"17","Baby food","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"18","Baby food","Carpet","Detergent","Using a clean white cloth, sponge the stain with a dry-cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 1 and 2 until the stain disappears.;Sponge with cold water and blot dry.;Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of warm water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"19","Baby food","Upholstery","Detergent;Dry cleaning solvent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"20","Baby formula","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"21","Baby formula","Carpet","Detergent","Using a clean white cloth, sponge the stain with a dry-cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 1 and 2 until the stain disappears.;Sponge with cold water and blot dry.;Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of warm water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"22","Baby formula","Upholstery","Detergent;Dry cleaning solvent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"23","Baby oil","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"24","Baby oil","Upholstery","Absorbent;Dry cleaning solvent","Sprinkle baking soda, cornstarch, or other absorbent on the stain.  Let stand 10 to 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"25","Bananas","Washable fabrics","Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"26","Bananas","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"27","Barbeque sauce","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"28","Beer","Washable fabrics","Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"29","Beer","Carpet","White vinegar;Detergent;3% Hydrogenperoxide","Blot with a white paper towel to remove as much of the stain as possible, then neutralize with a white vinegar solution (1/3 cup WHITE vinegar in 2/3 cup of water). Saturate spot with white vinegar solution, using a spray bottle and blot to remove excess moisture.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"30","Beer","Upholstery","White vinegar;Rubbing alcohol;Detergent","Mix one tablespoon of white vinegar with 2/3 cup of rubbing alcohol.;Using a clean white cloth, sponge the stain with the vinegar/alcohol solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"31","Beets","Upholstery","Detergent;Ammonia","Mix one teaspoon of liquid dishwashing detergent with two cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears or is no longer absorbed into the cloth.;If the stain remains, mix one tablespoon of ammonia with ½ cup of cool water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the ammonia solution.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"32","Berries (cranberries, raspberries, strawberries)","Washable fabrics","Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"33","Berries (cranberries, raspberries, strawberries)","Carpet","Dull knife;Wet vacuum (for spilled liquid);Detergent;3% Hydrogen peroxide","Blot up as much of the stain as is possible by blotting with a white paper towel or scraping with a dull knife. A wet vacuum is useful if a large quantity of liquid was spilled.;If spot has dried, saturate the tufts in the affected area with tap water (do not over wet). Allow to remain for about 1 minute and blot. If the spot is being removed using water, continue until the spot is completely removed. Blot dry and apply the paper towels and brick. If the stain is not completely removed, continue.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"34","Bird droppings","Upholstery","Detergent;Hydrogen peroxide;Ammonia","Mix one tablespoon of liquid dishwashing detergent with two cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;If the stain remains, use an eye dropper to apply hydrogen peroxide; and then apply a drop or two of ammonia.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"35","Black walnut","Washable fabrics","Detergent;White vinegar;Bleach","Sponge the stain with water.;Apply a few drops of dishwashing detergent in water and add a few drops of white vinegar.;Cover with paper toweling dampened with detergent solution and vinegar.  Let stand 5 minutes.;If fabric is strong enough, tamp with brush or spoon.;Flush with water.;Repeat until no more stain is removed.;Bleach to remove final traces of stain.;Apply bleach solution – 1 teaspoon of bleach and 1 tablespoon of water by drops. Do not use chlorine solutions on wool, spandex or silk. Only apply for 2 minutes.;Flush with water after each bleach application.;Apply vinegar solution (2/3 cup of water to 1/3 cup white vinegar) to remove excess chlorine. Flush with water.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"36","Bleach","Upholstery","Detergent;White vinegar","Mix one tablespoon of liquid dishwashing detergent with two cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears, or no longer absorbed into the cloth.;If the stain remains, use mix one tablespoon of white vinegar with two cups of cool water.  Sponge the stain with the solution.  Blot until liquid is absorbed. .;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"37","Blood","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.","Treat blood stains immediately. First run cold water through the stain. Then treat as below. If dried, pretreat with prewash stain remover, liquid laundry detergent, liquid detergent booster or paste of granular laundry product and water. Launder using bleach safe for fabric. Old stains may respond to soaking in enzyme product. For a blood stain that is not completely removed by this process, wet the stain with hydrogen peroxide and a few drops of ammonia. Do not leave in this mixture longer than 15 minutes. Rinse with cool water.","Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"38","Blood","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide","All solutions for removing blood must be cool.;Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"39","Blood","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"40","Blueberry","Washable fabrics","Heavy-duty liquid detergent;Dilute solution of all-fabric powdered bleach;Liquid chlorine bleach;Commercial color remover","Pretreat the stain with heavy-duty liquid detergent. Rinse.;Soak fabric in dilute solution of all-fabric powdered bleach.;If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching.;If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"41","Blueberry","Upholstery","White vinegar;Rubbing alcohol","Mix one tablespoon of white vinegar with 2/3 cup of rubbing alcohol.;Using a clean white cloth, sponge the stain with the vinegar/alcohol solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"42","Bluing","Washable fabrics","Heavy-duty liquid detergent;Dilute solution of all-fabric powdered bleach;Liquid chlorine bleach;Commercial color remover","Pretreat the stain with heavy-duty liquid detergent. Rinse.;Soak fabric in dilute solution of all-fabric powdered bleach.;If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching.;If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"43","Bluing","Carpet","Dull knife;Rubbing alcohol;Detergent","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never us a circular motion to remove spot as this may destroy the texture. Stop if spot is removed. If not, go to the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
